NOME CIRC;COSTO BOOLEANO;INPUT ALICE;INPUT BOB;DOMINIO MULTIVALORE;COSTO MULTIVALORE;INPUT ALICE;INPUT BOB
amd;469;7;7;2;1741;7;7
tms;322;4;4;2;184;4;4
pdc;2818;7;7;2;3327;7;7
mlp4;594;4;4;2;655;4;4
apla;343;5;5;2;204;5;5
f51m;261;4;4;2;280;4;4
m4;974;4;4;2;654;4;4
newtpla2;48;5;5;2;48;5;5
test1;1095;4;4;2;351;4;4
m2;339;4;4;2;344;4;4
br2;179;6;6;2;134;6;6
alu1;83;6;6;2;765;6;6
sqr6;197;3;3;2;206;3;3
bench;198;3;3;2;47;3;3
in5;446;7;7;2;1108;7;7
newtpla1;33;5;5;2;33;5;5
m3;571;4;4;2;358;4;4
newapla;83;6;6;2;72;6;6
l8err;454;4;4;2;335;4;4
t4;238;6;6;2;250;6;6
br1;252;6;6;2;131;6;6
fout;442;3;3;2;216;3;3
mp2d;136;7;7;2;1999;7;7
alu2;225;5;5;2;412;5;5
t3;131;6;6;2;322;6;6
p3;385;4;4;2;142;4;4
m1;125;3;3;2;109;3;3
bcd_div3;54;2;2;2;46;2;2
alu3;139;5;5;2;315;5;5
in7;182;7;7;2;1455;7;7
