NOME CIRC;COSTO BOOLEANO;INPUT ALICE;INPUT BOB;DOMINIO MULTIVALORE;COSTO MULTIVALORE;INPUT ALICE;INPUT BOB
amd;393216;7;7;4;196608;3;4
tms;4096;4;4;4;2048;2;2
pdc;2621440;8;8;4;1310720;4;4
mlp4;2048;4;4;4;1024;2;2
apla;12288;5;5;4;6144;2;3
f51m;2048;4;4;4;1024;2;2
m4;4096;4;4;4;2048;2;2
newtpla2;4096;5;5;4;2048;2;3
test1;2560;4;4;4;1280;2;2
m2;4096;4;4;4;2048;2;2
br2;32768;6;6;4;16384;3;3
alu1;32768;6;6;4;16384;3;3
sqr6;705;3;3;4;384;1;2
bench;512;3;3;4;256;1;2
in5;1835008;9;9;4;117440512;6;6
newtpla1;2048;5;5;4;1024;2;3
m3;4096;4;4;4;2048;2;2
newapla;40960;6;6;4;20480;3;3
l8err;1283;4;4;4;1024;2;2
t4;32768;6;6;4;16384;3;3
br1;32768;6;6;4;16384;3;3
fout;640;3;3;4;320;1;2
mp2d;229376;7;7;4;114688;3;4
alu2;8192;5;5;4;4096;2;3
t3;32768;6;6;4;16384;3;3
p3;3074;4;4;4;1792;2;2
m1;768;3;3;4;384;1;2
bcd_div3;64;2;2;4;32;1;1
alu3;8192;5;5;4;4096;2;3
in7;1310720;9;9;4;335544320;6;7
