NOME CIRC;COSTO BOOLEANO;INPUT ALICE;INPUT BOB;DOMINIO MULTIVALORE;COSTO MULTIVALORE;INPUT ALICE;INPUT BOB
amd;469;7;7;4;47568;3;4
tms;322;4;4;16;1024;1;1
pdc;2818;7;7;4;1310720;4;4
mlp4;594;4;4;16;512;1;1
apla;343;5;5;4;1029;2;3
f51m;261;4;4;16;272;1;1
m4;974;4;4;16;1024;1;1
newtpla2;48;5;5;4;2048;2;3
test1;1095;4;4;4;1280;2;2
m2;339;4;4;16;1024;1;1
br2;179;6;6;16;8192;1;2
alu1;83;6;6;16;4097;1;2
sqr6;197;3;3;8;200;1;1
bench;198;3;3;4;256;1;2
in5;446;7;7;4;117440512;6;6
newtpla1;33;5;5;4;1024;2;3
m3;571;4;4;16;1024;1;1
newapla;83;6;6;4;9728;3;3
l8err;454;4;4;16;512;1;1
t4;238;6;6;16;8192;1;2
br1;252;6;6;16;8192;1;2
fout;442;3;3;4;320;1;2
