NOME CIRC;COSTO BOOLEANO;INPUT ALICE;INPUT BOB;DOMINIO MULTIVALORE;COSTO MULTIVALORE;INPUT ALICE;INPUT BOB
amd;469;7;7;4;47568;3;4
tms;322;4;4;4;2048;2;2
pdc;2818;7;7;4;1310720;4;4
mlp4;594;4;4;4;784;2;2
apla;343;5;5;4;1029;2;3
f51m;261;4;4;4;340;2;2
m4;974;4;4;4;1601;2;2
newtpla2;48;5;5;4;2048;2;3
test1;1095;4;4;4;1280;2;2
m2;339;4;4;4;1121;2;2
br2;179;6;6;4;16384;3;3
alu1;83;6;6;4;5122;3;3
sqr6;197;3;3;4;276;1;2
bench;198;3;3;4;256;1;2
in5;446;7;7;4;117440512;6;6
newtpla1;33;5;5;4;1024;2;3
m3;571;4;4;4;1169;2;2
newapla;83;6;6;4;9728;3;3
l8err;454;4;4;4;337;2;2
t4;238;6;6;4;10240;3;3
br1;252;6;6;4;16384;3;3
fout;442;3;3;4;320;1;2
mp2d;136;7;7;4;7;3;4
alu2;225;5;5;4;1282;2;3
t3;131;6;6;4;4;3;3
p3;385;4;4;4;1408;2;2
m1;125;3;3;4;225;1;2
bcd_div3;54;2;2;4;32;1;1
alu3;139;5;5;4;4;2;3
in7;182;7;7;4;23085056;6;7
