NOME CIRC;COSTO BOOLEANO;INPUT ALICE;INPUT BOB;DOMINIO MULTIVALORE;COSTO MULTIVALORE;INPUT ALICE;INPUT BOB
tial;354;7;7;4;37888;3;4
sqr6;249;3;3;8;200;1;1
m2;462;4;4;16;784;1;1
m3;647;4;4;16;784;1;1
alu3;190;5;5;4;130;2;3
br2;430;6;6;16;8192;1;2
m1;180;3;3;8;193;1;1
l8err;176;4;4;16;272;1;1
p3;328;4;4;4;1105;2;2
m4;1023;4;4;16;1024;1;1
newtpla2;285;5;5;4;2048;2;3
fout;393;3;3;4;320;1;2
t3;152;6;6;16;4097;1;2
tms;413;4;4;16;1024;1;1
br1;131;6;6;16;8192;1;2
amd;260;7;7;4;32004;3;4
bench;296;3;3;4;145;1;2
f51m;108;4;4;16;272;1;1
mlp4;627;4;4;16;512;1;1
test1;2029;4;4;4;1280;2;2
alu1;120;6;6;16;8192;1;2
bcd_div3;60;2;2;4;32;1;1
apla;213;5;5;4;4164;2;3
newapla;61;6;6;4;8960;3;3
newtpla1;592;5;5;4;1024;2;3
